idx,pos_en,jd_en
0,Sales Engineer (Telecommunications),"Sale, offer for sale, sell and track the bidding of projects with government agencies and private enterprises, and other assignments."
1,project Engineer,Functional Design and Auto CAD program written by the electrical system of the estimated project cost of project control and the installation of the toll collection system. Traffic control system of coordination with customers and contractors with experience of at least 2 years on the project.
2,Sales representative (stationary),"1. Products (stationery), according to sales targets set 2. To satisfy the needs and issues of customer care 3. subscribers. And reach out to new customers in order to offer products of the Company 4. Bangkok and other provinces."
3,Mechanical / Manufacturing / Maintenance Engineer / Electrical Engineer.,- Responsible for production Construction on the plant - produced according to the standards - track and resolve support and engineering services. Maintenance Engineer - Responsible for installation - planned maintenance PM and TPM.
4,Sales Manager,"Job scope summary:Responsible in achieving the room and event services sales objectives of the hotel. Represents and promotes the Hotel by maintaining constant contact with market and the customer base locally and internationally through Customer Relationship Management. Supervises the Sales Department to ensure all daily tasks are completed in a timely fashion.Duties & Responsibilities:- Achieve and exceed budgeted room nights and revenue goals annually.- Analyze and estimate total value of each piece of business and negotiate best situation for achieving.- Optimum revenue for the hotel while ensuring excellent customer service.- Ensure accuracy for forecasting of revenues with most updated information.Job knowledge, Skill & Abilities:- Must be able to read and write to facilitate the communication process.- Must be able to speak, read, write and understand the primary language(s) used in the workplace.- Requires good communication skills, both verbal and written.- Extensive knowledge of the hotel and facilities.- Ability to recruit, supervise, train and motivate multiple levels of managers."
5,financial manager,"1. Cash Flow Management Plan 2. All of the company's supervisory and management jobs in the finance department to effectively control and manage up to 3 - reduce the financial cost of the Company's control 4. Coordinate with Sales. 5. Auto in order to achieve efficient liquidity management oversight, controls the duty of subjection tea to be careful. Is accurate 6. To supervise and inspect the financial documents. According to the procedures and processes required to analyze the preparation and presentation of financial planning operations, both short and long-term, systematic 7. Preparation of financial reports And analyzing the financial position of the Company. 8. The proposed management plan to get - pay to reduce costs. Management plans or the highest return 9. liquidity management of the business. Be able to operate continuously 10. Ability to liaise with the parties. associated The information helps decision 11. planning, operational planning, personnel development work in the finance department to replace it (Rotate), so the work does not stop 12. Planning Succession Plan for Successor to support the expansion of the business plan 13. Treasury Cash Management system to manage the financial costs to effectively 14. budget income - expenses, the tax administration. 15. Related parties with investment plans and financing for business expansion 16. Maturity is the ability to make decisions. Workaround well"
6,Graphic Designer / Marketing,Ensure that we are fully stocked to the top with beautiful and fresh icons and design elements that will be used throughout our product.Take charge of all design assets. Design creative solutions to known industry wide issues. Use visual design to clearly explain what our product does and why our users should love us. Create our 'Book of Design' (Design Guidelines) and ensure that we're adhering to them. Coordinate social media platformCoordinate  marketing strategy to go plan for our product
7,Sales Representative (Chemicals and equipment used in the laboratory).,"• Responsible for sales presentations, closing sales, customer care in sales • • The solution provides advice to clients."
8,Product Specialist (Scientific Instruments and Supplies Division),• Provide information and knowledge The goods The technical information in Of its customers • Work with sales representatives and sales representatives. • responsibility for making markets work for the document. And teach clients to use.
9,Quality Engineer,"•Effectively implement customer specific requirements (as defined in the quality manual and procedures).•Supervise and execute company’s activities in reducing customer/ in-process / supplier  rejection•Follow up on an implementation of corrective and preventive action as per any customer concerns/claims•Supervise and execute a containment action and follow up on disposition of non-conformity•Follow up on improvement activities•Follow up and execute company’s activities to achieve KPI as per the set targets.•Conduct training to Quality Personnel to maintain measurement skill as per his/her roles, as assigned.•Ensure that all the testing and measuring equipment are in proper condition, calibrated, and ready to be used.•Supervise and control quality related tasks for Quality Line Leaders / Quality inspectors.•QA Engineer : mainly involve in all quality aspects of suppliers/sub-con production or other tasks as assigned by Quality Manager.•QC Engineer : mainly involve in all quality aspects of in-house production or other tasks as assigned by Quality Manager.•QE Engineer : mainly involve in all quality aspects of customer issues or other tasks as assigned by Quality Manager"
10,GOOD Engineer,"•Create BOM’s (Bill of Material) from customer drawings•Develop and maintain manufacturing methods, create process routing for manufacturing parts•Prepare quotation packages for submission to customer•Determine project specifications by studying product design, customer requirements, and performance standards, completing technical studies•Maintain project schedule by monitoring project progress, coordinating activities, resolving problems•Prepare project status reports by collecting, analysing, and summarizing information and trends, recommending actions•Additional duties as requested by management"
11,Technicians CNC SETTER,"- Set up and use the CNC, Auto Lathe- maintenance of equipment and instruments - detailed records of performance. And report to supervisors - quality treatment. And safety standards - other practitioners. As assigned by supervisor."
12,Purchasing Officer/Agent,"• To handle and arrange issuing purchase order & work order which all regular transaction, payment process and routine paper work, especially for both materials & spare parts (both domestic and import)• To maintain, update database and evaluate both of vendors and outsourcers.• To update all status reports on bid inquires and purchase orders are submitted promptly and completed accurately.• To contact, negotiate & coordinate with foreign traders and domestic.• To manage logistics, supply chain, monitor data analysis, control and follow-up all purchasing processes including placing purchase order, making payment to suppliers and others.• Periodically visit vendor's factories or offices in order to know supplier situations and assure of continually supply.• Purchasing performance measurement/ Strategic operational planning / KPI of department & KPI individual / Monthly report.• Knowledge about Customs clearance with BOI process.• Knowledge with ISO 9001• Others upon the assignment."
13,civil engineer,"Control and coordinate with the relevant agencies, meeting with principals to report summarizing progress and barriers reproductions. Estimated cost for the project manager hired subcontractors retail planning work order materials used in the project specific problems occurring in the construction of experience working with the RID will be an advantage."
14,Delivery Driver,Main functions: 1. Driving Delivery 2. Coordination - Transfer raw materials / documents related 3. Car maintenance plan 4. Other duties as assigned operational Monday - Saturday 09:00 -18: 00.
15,Staff Accountant,1. Bill invoice / receipt 2. Contact clients to pursue unpaid debts 3. 4. Prepare the accounting and tax reporting results for the annual period 5. Take care finance company. Such a check to pay check 6. Coordinate with external organizations such as firm banking revenue.
16,Customer Program Manager (Business/System Analyst),"Lead training and present AMPOS ERM product to customerNegotiate, communicate and confirm schedule and scope of solution delivery with customer Assist in conveying and performing application build, test, and deploy activities according to the plan Creating project deliverable Leading requirement definition and implementation workshop Planning and establishing after go-live activities including ongoing supportDeveloping, and configuring AMPOS products accordingly"
17,nurse anesthetists,1. Provide medical equipment and related anesthesia 2. Care equipment related to anesthesia sufficient to use 3. Liaise with agencies And personnel involved 4. Knowledge of nursing jobs are suitable for operational duties.
18,project Engineer,"Plan, plan, budget, equipment and construction teams and contractors: monitoring the work by model. Compliance: administrative offices, such as monitoring construction plan, monitor and report on the progress of the project, and create a better relationship with the community in the project. As well as fix the problem."
19,Sales /  Marketing Manager,"1) Day to day management of the sales team ensuring on track for achieving KPI’s.2) Setting sales and marketing KPI’s to manage activity within the team.3) Working with sales executives on approaches to building business.4) Managing recruiting, objectives setting, coaching and performance monitoring of sales representatives5) Performance managing underperforming members of the sales team.6) Overseeing all marketing activity and ensuring it fits with the marketing strategy.7) Designing and implementing a strategic sales plan that expands company’s customer base and ensure it’s strong presence8) Managing the company’s social media accounts and posting relevant content.9) Reporting on activities towards targets to the company directors.10) Researching potential target industries and customers.11) Attending meetings with customers alongside sales staff12) Putting together a content marketing strategy for the company.13) Maximise sales opportunities.14) Prepare weekly sales report and recovery plan and discipline of Sales/Technical staff"
20,Sales Executive / Sales Engineer,1) Identifies business opportunities/cold call to customers2) Maximise sales opportunities to achieving KPI’s.3) Contributes to team effort.4) Reporting on activities towards targets to the Sales Manager.5) Researching potential target industries and customers.6) Maintains quality service.7) Prepare weekly sales report and recovery plan8) Provide on site battery and chargers testing (Simple testing -SG/Voltage)
21,Technical Specialist,1) Assemble of the traction battery 2) Checking/troubleshooting and servicing of traction battery and charger in-house and on-site3) Repairing and replacement of damaged parts for traction battery and charger4) Preparing field reports 5) Installation of the battery to equipment and commission of charger to the power supply
