,position,jobdesc,newgrad,junior,senior,url,wage
0,Accounting & Finance Supervisor (CPA),"Handle all management reports and be involved in analysis tasks. Oversee all operations of finance / accounts, month-end closings and financial statement reports.",-1,40000.0,62500.0,https://adecco.co.th/salary-guide/2019/00001/5#job-des,40000.0
1,Accounting Analyst,"Perform duties related to fixed-asset accounting, bank reconciliation, cost allocation, account closing, financial accounting and balance sheet accounts reconciliation. Review and monitor accounting controls to ensure accurate and timely financial records.",21500.0,32500.0,60000.0,https://adecco.co.th/salary-guide/2019/00001/7#job-des,32500.0
2,Accounting Assistant,"Handle general accounting functions, including accounts payable, accounts receivable and general ledger. Responsible for balancing and reconciliations. Specialise in one area of the accounting function and understand bookkeeping procedures.",20000.0,30000.0,-1,https://adecco.co.th/salary-guide/2019/00001/9#job-des,30000.0
3,Accounting Director,Oversee and supervise all month-end and year-end accounting procedures and manage general accounting functions. Ensure that the accounting department is staffed with qualified personel to meet set objectives and responsibilities. Ensure that company accounting & financial reports are prepared in compliance with policies and directives of company.,-1,-1,200000.0,https://adecco.co.th/salary-guide/2019/00001/249#job-des,200000.0
4,Accounting Executive / Officer,"Handle cash receipts, expenditures, investments, purchasing, inventory, assets and payroll. Record all transactions. Prepare and submit VAT reports. Assist with assets and inventory control and handle general accounting functions.",20000.0,30000.0,-1,https://adecco.co.th/salary-guide/2019/00001/2#job-des,30000.0
5,Accounting Manager,"Ensure accuracy of accounting standards, all management reports, internal and external reporting. Control and monitor daily transactions. Responsible for all accounting and tax matters.",-1,-1,85000.0,https://adecco.co.th/salary-guide/2019/00001/8#job-des,85000.0
6,Accounts Payable Accountant,"Perform any combination of routine calculating, including posting business transactions, processing invoices, and verifying financial data to be used in maintaining accounts payable records. Verify accurate information and/or data. Make sure that the payment is received as scheduled.",21500.0,32500.0,-1,https://adecco.co.th/salary-guide/2019/00001/248#job-des,32500.0
7,Accounts Receivable Accountant,"Prepare invoices, receipts and tax invoices.  Follow up on customer payment and prepare VAT reports.",21500.0,32500.0,-1,https://adecco.co.th/salary-guide/2019/00001/4#job-des,32500.0
8,Asset Transaction Specialist,Analyze/verify value of properties to investors or buyers. Negotiate in selling utility system. Coordinate with country team to identify workflow and asset shifts. Finalize contract with buyer.,-1,40000.0,67500.0,https://adecco.co.th/salary-guide/2019/00001/15#job-des,40000.0
9,Assistant Accounting Manager,Manage and control overall accounting functions and monitor team performance.,-1,57500.0,85000.0,https://adecco.co.th/salary-guide/2019/00001/329#job-des,57500.0
10,AVP - Accounting and Finance,"Utilize strong accounting and finance understanding to develop insights into financial performance of a large, complex and highly profitable multinational company. Work closely with Finance and Actuarial teams to regularly unravel and explain IFRS results. Further work with the rest of the team to partner business units to effectively develop strategies, budgets, business cases and be instrumental in facilitating management and business units in making timely and correct decisions.",-1,-1,125000.0,https://adecco.co.th/salary-guide/2019/00001/356#job-des,125000.0
11,Costing Executive,"Prepare Factory Costing, reports on Cost Accounting, and Distribution Sheet of Manufacturing Expense. Oversee Month-end closing, General Ledger and Trial Balance, and Profit and Loss statement.",-1,40000.0,60000.0,https://adecco.co.th/salary-guide/2019/00001/39#job-des,40000.0
12,Costing Manager,"Plan, develop and supervise all cost related functions. Ensure that all project cost activities, such as data collection, field estimating, productivity analysis and budget forecasting, comply with company and client requirements. Develop and implement project cost standards and procedures. Provide support service to the project teams to assist and guide the establishment of the project budgets and project control tools.",-1,-1,100000.0,https://adecco.co.th/salary-guide/2019/00001/366#job-des,100000.0
13,Finance & Accounting Manager,"Manage financial and accounting functions. Manage and monitor finance and Accounting team. Responsible for company’s financial and accounting functions and data processing, including financial management and cost accounting.",-1,-1,175000.0,https://adecco.co.th/salary-guide/2019/00001/70#job-des,175000.0
14,Head of Internal Audit,Plan and develop Internal Audit Division. Manage internal audit activities and resources. Provide daily management of audit functions (including the development of the audit plan).  Manage multiple projects as well as schedule resources for individual audits and report audit results to management.,-1,-1,225000.0,https://adecco.co.th/salary-guide/2019/00001/80#job-des,225000.0
15,Internal Audit Manager,"Audit finance, operations, system and process of company’s business units and outsourced operations. Responsible for planning, executing and completing audit fieldwork according to established schedule.  Recommend internal control improvements that may include operational enhancements or efficiencies. Prepare audit reports and control documentation.  Be a team player and embrace company’s compliance principles as a key component of audit process.",-1,-1,110000.0,https://adecco.co.th/salary-guide/2019/00001/91#job-des,110000.0
16,Internal Auditor,"Conduct audits to verify accuracy of records and in compliance with standards, policies and procedures. Compile audit findings and recommendations to modify and improve systems and procedures.",24000.0,40000.0,60000.0,https://adecco.co.th/salary-guide/2019/00001/92#job-des,40000.0
17,Junior Accountant,"Record day-to-day transactions, prepare payment vouchers, manage and calculate tax and handle bank reconciliations. Verify and post transactions to journals, ledgers and other recordings. Prepare statements, invoices and vouchers. May handle balancing and reconciliations. Specialise in one area of the accounting functions.",20000.0,30000.0,-1,https://adecco.co.th/salary-guide/2019/00001/97#job-des,30000.0
18,Project Accountant,"Perform cost control activities, record and check expenditures. Monitor process of payments and prepare data for monthly cash call, withholding tax and income tax submissions.",20000.0,30000.0,-1,https://adecco.co.th/salary-guide/2019/00001/6#job-des,30000.0
19,Senior Accountant,"Responsible for full accounting transaction (A/P, A/R, G/L), balance sheet, financial statement and reporting. Consolidate financial reports to assist management analysis. Ensure all account transactions are accurate and timely. Prepare and produce the financial reports and documents to ensure the accuracy and in compliance with defined schedule. Analyse an impact on financial operation due to new business, changes of business or regulations.",-1,40000.0,60000.0,https://adecco.co.th/salary-guide/2019/00001/178#job-des,40000.0
20,Tax Consultant,"Prepare monthly and yearly VAT, Corporate Income Tax, provide Tax advice to business units and deal with Revenue Department. Work as a tax professional; deal with related authorities, prepare tax advice report, conduct tax related research and prepare corporate income tax returns.",-1,65000.0,-1,https://adecco.co.th/salary-guide/2019/00001/220#job-des,65000.0
21,VP - Accounting and Finance,"Perform a wide range of duties related to oversee and secure company’s finances, including managing debt, overseeing accounting protocols, ensuring that the company’s financial portfolio and its employees are following standard and legal accounting rules. Act as a leader within the company’s executive framework.",-1,-1,200000.0,https://adecco.co.th/salary-guide/2019/00001/256#job-des,200000.0
22,Administrative Assistant,"Handle documents and support functions, such as filing and other administrative functions. Work coordinately with internal departments.",20000.0,30000.0,-1,https://adecco.co.th/salary-guide/2019/00002/10#job-des,30000.0
23,Administrative Director,"Oversee overall administrative, HR, IT and purchasing functions. Manage functions to support other departments. Create new activities for employee relations in HR department.",-1,-1,125000.0,https://adecco.co.th/salary-guide/2019/00002/250#job-des,125000.0
24,Administrative Manager,Provide general administrative support to all departments. Oversee supplier contract management. Coordinate and maintain company’s documents and office properties.,-1,-1,75000.0,https://adecco.co.th/salary-guide/2019/00002/11#job-des,75000.0
25,Administrative Officer / Staff,Responsible for administrative functions and support related sections. Provide document support for related departments.,20000.0,40000.0,-1,https://adecco.co.th/salary-guide/2019/00002/12#job-des,40000.0
26,Clerk,"Provide administrative and clerical services to ensure effective and efficient administrative operations. The Administrative Clerk must comply with the Financial Administration Act, Generally Accepted Accounting Principles and settlement policies and procedures.",17500.0,32500.0,-1,https://adecco.co.th/salary-guide/2019/00002/361#job-des,32500.0
27,Data Entry,Enter data into the system.,17500.0,-1,-1,https://adecco.co.th/salary-guide/2019/00002/51#job-des,17500.0
28,Executive Secretary / PA,"Support top management and handle confidential matters. Responsible for secretarial tasks, i.e. appointment arrangements, travel arrangements and other tasks as assigned. Hands on some interpretation in the meetings and document translation. ",26000.0,45000.0,85000.0,https://adecco.co.th/salary-guide/2019/00002/64#job-des,45000.0
29,Interpreter,"Provide a conversion of Japanese language to Thai/English and vice versa in the business meeting, production line, training and seminar as assigned.  Experienced in document translation. Able to utilize advanced level of English grammar and knows wide variety of Thai vocabulary.",-1,32500.0,50000.0,https://adecco.co.th/salary-guide/2019/00002/93#job-des,32500.0
30,Interpreter (Japanese Nationality),"Provide a conversion of Japanese language to Thai/English and vice versa in the business meeting, production line, training, seminar, etc. Experienced in document translation. Able to utilize advanced level of English grammar and knows wide variety of Thai vocabulary.",50000,65000.0,75000.0,https://adecco.co.th/salary-guide/2019/00002/62#job-des,65000.0
31,Office Manager,"Provide general administrative support to all departments. Handle supplier contract management and some accounting tasks (tax, invoice and payroll). Coordinate and maintain company’s documents and office properties.",-1,57500.0,75000.0,https://adecco.co.th/salary-guide/2019/00002/120#job-des,57500.0
32,Project Coordinator (General),"Assist Project Manager and Superintendent, where applicable, in the day to day duties of a project’s administration under the guidance and direction of the project.",-1,42500.0,-1,https://adecco.co.th/salary-guide/2019/00002/268#job-des,42500.0
33,Project Manager,"Oversee projects and in charge of budgets controlling, work plans and all project management procedures.",-1,-1,70000.0,https://adecco.co.th/salary-guide/2019/00002/139#job-des,70000.0
34,Receptionist,"Greet and welcome guests.  Handle guest enquiries and complaints, make outgoing calls and answer incoming calls.  In charge of meeting room arrangements and maids and messengers handling.",17500.0,25000.0,-1,https://adecco.co.th/salary-guide/2019/00002/154#job-des,25000.0
35,Report Analyst,"Perform complex data analysis in support of ad-hoc and standing management or customer requests. Sometimes perform data entry and data auditing, create data reports and monitor all data for accuracy.",-1,25000.0,45000.0,https://adecco.co.th/salary-guide/2019/00002/266#job-des,25000.0
36,Sales Administrator / Sales Support,Handle all documentation and paperwork. Liaise and coordinate with production and related departments. Support sales for any administrative related function.,20000.0,30000.0,35000.0,https://adecco.co.th/salary-guide/2019/00002/164#job-des,30000.0
37,Secretary,"Responsible for secretarial tasks as assigned, such as scheduling meetings as well as taking minutes of meeting. Handle both personal and business affair arrangement. Provide secretarial and administrative support to department / senior secretary. Handle all secretarial duties, including typing, filing and other tasks as assigned. Hands on role in meeting and document translations.",21500.0,35000.0,-1,https://adecco.co.th/salary-guide/2019/00002/98#job-des,35000.0
38,Senior / Department Secretary,"Provide administrative support, handle secretarial tasks, such as minute taking, meetings and appointment arrangements, presentation preparation, correspondence, screen calls & mails, travel arrangements and office management for departments.",-1,-1,80000.0,https://adecco.co.th/salary-guide/2019/00002/177#job-des,80000.0
39,Senior Administrator,Perform administrative functions and provide support to related sections. Manage document support for related departments. Report directly to Administrative Manager.,-1,40000.0,-1,https://adecco.co.th/salary-guide/2019/00002/179#job-des,40000.0
40,Cabin Senior / Cabin Service Director / Purser,Handle and provide solution to any problem occurs in passenger cabin during flight operation.,-1,50000,-1,https://adecco.co.th/salary-guide/2019/00003/25#job-des,50000
41,Call Center,"Manage incoming and outgoing calls, provide service and information to customers and handle enquiries and complaints.",40000.0,55000.0,60000.0,https://adecco.co.th/salary-guide/2019/00003/26#job-des,55000.0
42,Customer Service (Travel Agent),"Handle passenger queries regarding the flight and travel documents, process check-in, vertify travel document and handle lost & found issues.",-1,-1,40000.0,https://adecco.co.th/salary-guide/2019/00003/46#job-des,40000.0
